Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
ALFA ROMEO,MODEL-651,VAN - CARGO,3.5,6,A4,X,14.3,10.0,12.4,19,291
GMC,MODEL-978,STATION WAGON - SMALL,1.0,4,A7,X,8.6,4.1,6.6,36,154
RAM,MODEL-981,COMPACT,2.5,6,A10,D,11.4,8.1,9.9,24,257
MITSUBISHI,MODEL-714,STATION WAGON - MID-SIZE,2.5,4,AS8,D,10.1,6.0,8.3,28,210
VOLVO,MODEL-783,FULL-SIZE,2.5,4,AS6,X,12.1,7.5,10.0,24,231
MERCEDES-BENZ,MODEL-953,STATION WAGON - SMALL,2.5,4,A8,D,11.3,9.3,10.4,23,264
LEXUS,MODEL-610,PICKUP TRUCK - STANDARD,4.5,6,AS10,X,17.8,14.9,16.5,14,370
SMART,MODEL-779,COMPACT,2.5,4,AV8,E,13.9,9.6,12.0,20,183
VOLKSWAGEN,MODEL-817,MID-SIZE,3.5,6,A9,X,13.7,10.0,12.0,20,268
KIA,MODEL-119,PICKUP TRUCK - SMALL,3.0,6,A8,D,12.1,9.3,10.8,22,278
MERCEDES-BENZ,MODEL-211,SUBCOMPACT,2.0,4,AV,Z,11.0,6.3,8.9,26,206
HONDA,MODEL-414,MINICOMPACT,2.0,4,M7,X,10.9,6.0,8.7,27,195
LEXUS,MODEL-135,VAN - CARGO,2.0,6,AV10,X,12.1,7.1,9.8,24,216
NISSAN,MODEL-723,SUV - SMALL,2.0,4,AS6,X,10.9,7.7,9.5,25,215
PORSCHE,MODEL-227,PICKUP TRUCK - STANDARD,3.5,6,AS6,N,16.0,12.6,14.5,16,280
MASERATI,MODEL-994,FULL-SIZE,3.5,4,AM7,X,15.5,13.9,14.8,16,332
ASTON MARTIN,MODEL-291,STATION WAGON - MID-SIZE,1.5,4,AS10,D,8.7,6.3,7.6,31,196
ROLLS-ROYCE,MODEL-563,SUBCOMPACT,2.0,4,A4,X,11.5,9.6,10.6,22,249
FIAT,MODEL-568,SPECIAL PURPOSE VEHICLE,1.0,4,A7,X,8.6,4.0,6.5,36,148
MITSUBISHI,MODEL-885,COMPACT,3.5,4,M7,X,13.8,10.8,12.5,19,285
KIA,MODEL-840,SUV - STANDARD,2.0,6,AV10,X,12.5,10.8,11.7,20,277
CHRYSLER,MODEL-360,STATION WAGON - MID-SIZE,2.5,4,AS5,N,12.7,10.1,11.5,20,221
RAM,MODEL-192,TWO-SEATER,2.0,4,A7,E,14.8,8.9,12.1,19,190
BENTLEY,MODEL-576,PICKUP TRUCK - SMALL,2.0,6,AV,X,11.4,7.5,9.6,25,229
MAZDA,MODEL-172,COMPACT,3.0,4,AS5,D,11.4,8.9,10.3,23,280
MERCEDES-BENZ,MODEL-815,SUBCOMPACT,1.5,4,AS10,Z,10.1,7.1,8.8,27,191
LEXUS,MODEL-234,PICKUP TRUCK - SMALL,3.5,6,AV8,Z,13.8,9.8,12.0,20,272
TOYOTA,MODEL-874,VAN - PASSENGER,2.0,4,AS5,Z,12.0,7.9,10.2,23,224
MITSUBISHI,MODEL-972,VAN - PASSENGER,3.0,6,A6,X,15.1,13.2,14.2,17,326
LEXUS,MODEL-611,SPECIAL PURPOSE VEHICLE,3.5,4,AM6,D,11.1,8.5,9.9,24,267
MAZDA,MODEL-876,SUV - STANDARD,3.0,4,A6,X,13.2,11.4,12.4,19,284
LAMBORGHINI,MODEL-280,FULL-SIZE,2.0,4,M5,E,14.4,11.1,12.9,18,204
INFINITI,MODEL-336,SUBCOMPACT,1.5,3,AS7,X,8.0,5.5,6.9,34,159
DODGE,MODEL-859,PICKUP TRUCK - STANDARD,3.0,4,AS6,D,12.9,10.0,11.6,20,292
CHEVROLET,MODEL-644,SUV - SMALL,2.5,4,AS9,X,13.5,9.7,11.8,20,278
MINI,MODEL-670,STATION WAGON - MID-SIZE,2.0,4,A6,D,11.3,6.9,9.3,25,245
CHRYSLER,MODEL-707,VAN - PASSENGER,4.0,6,AS8,X,15.1,12.5,13.9,17,304
ASTON MARTIN,MODEL-799,PICKUP TRUCK - STANDARD,3.5,4,AV10,X,14.4,11.3,13.0,18,297
VOLKSWAGEN,MODEL-403,STATION WAGON - MID-SIZE,1.5,4,A7,X,10.8,9.1,10.0,24,238
MASERATI,MODEL-709,PICKUP TRUCK - SMALL,2.0,4,A5,Z,9.9,6.6,8.4,28,191
ACURA,MODEL-485,TWO-SEATER,1.5,3,A8,E,13.3,10.2,11.9,20,174
SMART,MODEL-919,VAN - PASSENGER,2.5,4,AS6,D,10.1,5.8,8.2,29,217
ACURA,MODEL-555,COMPACT,2.5,4,AV8,D,10.4,6.9,8.8,27,228
MINI,MODEL-193,VAN - CARGO,2.5,4,A8,N,12.2,8.8,10.7,22,207
LAMBORGHINI,MODEL-297,VAN - PASSENGER,3.0,6,A6,X,12.8,11.3,12.1,19,285
DODGE,MODEL-437,SUBCOMPACT,2.0,4,AV7,Z,12.7,9.1,11.1,21,245
JEEP,MODEL-343,SUV - SMALL,2.0,4,AV7,X,11.7,8.3,10.2,23,234
CADILLAC,MODEL-136,VAN - CARGO,4.5,10,AS9,E,23.9,21.5,22.8,10,351
FORD,MODEL-523,TWO-SEATER,2.5,4,A4,X,12.7,8.6,10.9,22,245
ACURA,MODEL-538,STATION WAGON - SMALL,2.5,6,AV10,Z,13.1,9.9,11.7,20,271
AUDI,MODEL-641,VAN - PASSENGER,3.0,6,A8,Z,15.1,11.7,13.6,17,311
JEEP,MODEL-859,VAN - PASSENGER,2.0,6,A5,X,11.5,9.7,10.7,22,249
CADILLAC,MODEL-321,COMPACT,1.5,3,AS8,Z,8.6,4.0,6.5,36,156
ALFA ROMEO,MODEL-494,SUV - SMALL,2.5,4,AS6,Z,13.6,9.4,11.7,20,262
HYUNDAI,MODEL-899,MID-SIZE,2.5,4,AS10,X,12.5,9.3,11.1,21,253
MAZDA,MODEL-397,STATION WAGON - MID-SIZE,2.0,4,AM7,X,11.9,7.4,9.9,24,231
MAZDA,MODEL-658,PICKUP TRUCK - STANDARD,3.0,4,A8,X,14.5,10.2,12.6,19,277
BENTLEY,MODEL-115,FULL-SIZE,3.0,6,AM6,X,13.4,11.7,12.6,19,280
ACURA,MODEL-826,VAN - PASSENGER,2.0,4,AV10,X,11.7,6.8,9.5,25,213
GMC,MODEL-291,PICKUP TRUCK - SMALL,2.5,4,AS10,Z,12.1,9.5,10.9,22,261
ACURA,MODEL-603,VAN - CARGO,3.0,6,AS8,Z,16.0,13.1,14.7,16,326
GENESIS,MODEL-326,SUV - STANDARD,2.0,4,AV,X,11.2,7.1,9.4,25,221
DODGE,MODEL-928,SUBCOMPACT,2.0,4,M5,X,10.7,8.9,9.9,24,227
ROLLS-ROYCE,MODEL-681,STATION WAGON - MID-SIZE,1.0,4,A8,X,9.2,6.9,8.2,29,195
BENTLEY,MODEL-648,PICKUP TRUCK - SMALL,2.0,4,M6,X,11.4,7.9,9.8,24,216
MAZDA,MODEL-462,SUBCOMPACT,1.0,4,AS8,D,7.8,3.8,6.0,39,163
VOLVO,MODEL-231,VAN - CARGO,2.5,4,AV8,X,12.5,8.5,10.7,22,239
MASERATI,MODEL-413,SUV - SMALL,1.5,3,M5,X,9.6,5.4,7.7,31,177
JAGUAR,MODEL-200,FULL-SIZE,2.5,4,AS6,X,12.9,8.3,10.8,22,253
LAMBORGHINI,MODEL-654,SUV - STANDARD,2.0,6,AV7,D,11.8,9.3,10.7,22,284
KIA,MODEL-628,VAN - CARGO,3.0,6,A8,X,13.7,10.2,12.1,19,281
ACURA,MODEL-980,VAN - PASSENGER,4.5,8,A5,X,17.7,15.0,16.5,14,359
LAND ROVER,MODEL-743,VAN - PASSENGER,2.5,4,M7,X,13.2,11.3,12.3,19,281
MERCEDES-BENZ,MODEL-527,MID-SIZE,2.5,6,AS5,X,12.5,10.1,11.4,21,250
BMW,MODEL-729,PICKUP TRUCK - SMALL,2.5,6,A6,X,12.3,10.6,11.5,20,263
LAND ROVER,MODEL-319,FULL-SIZE,3.0,6,AV,D,12.4,10.5,11.5,20,293
MASERATI,MODEL-470,FULL-SIZE,3.0,8,M6,Z,14.2,9.4,12.0,20,277
CADILLAC,MODEL-697,VAN - PASSENGER,2.0,6,M6,N,13.0,11.0,12.1,19,237
INFINITI,MODEL-560,SUV - STANDARD,2.5,4,AS9,X,11.9,8.9,10.6,22,248
JAGUAR,MODEL-760,VAN - CARGO,2.0,6,AV10,X,13.3,10.5,12.0,20,275
FORD,MODEL-291,VAN - CARGO,3.5,4,AS5,Z,15.1,12.4,13.9,17,316
VOLVO,MODEL-338,FULL-SIZE,2.0,4,AV7,X,13.6,11.0,12.4,19,285
SMART,MODEL-483,VAN - CARGO,3.0,8,AV7,X,14.5,10.8,12.8,18,293
GMC,MODEL-117,TWO-SEATER,2.0,4,A10,X,12.4,8.9,10.8,22,249
ACURA,MODEL-796,SUV - SMALL,2.5,4,AS5,X,13.2,11.0,12.2,19,266
INFINITI,MODEL-748,SPECIAL PURPOSE VEHICLE,2.0,4,AS6,D,9.4,6.6,8.1,29,219
SMART,MODEL-300,SUBCOMPACT,1.0,4,AV,Z,10.6,6.7,8.8,27,197
CHRYSLER,MODEL-964,STATION WAGON - SMALL,2.0,4,AM7,X,12.6,9.5,11.2,21,251
BUICK,MODEL-210,COMPACT,2.5,6,M5,N,11.6,8.4,10.2,23,191
ASTON MARTIN,MODEL-670,SUV - SMALL,2.5,6,AV10,X,13.2,9.1,11.4,21,262
JEEP,MODEL-468,SUBCOMPACT,1.0,4,AS8,X,9.0,6.2,7.7,31,173
LINCOLN,MODEL-480,COMPACT,2.0,4,A5,E,13.8,10.5,12.3,19,183
LAMBORGHINI,MODEL-685,SPECIAL PURPOSE VEHICLE,3.0,8,AM6,X,15.7,11.4,13.8,17,313
FIAT,MODEL-902,SUV - STANDARD,1.0,3,AM7,X,9.4,4.5,7.2,33,170
RAM,MODEL-885,PICKUP TRUCK - STANDARD,3.0,8,AS6,X,14.1,11.6,13.0,18,288
BMW,MODEL-784,STATION WAGON - SMALL,1.5,3,AS9,X,10.4,6.0,8.4,28,183
MITSUBISHI,MODEL-874,FULL-SIZE,3.0,6,A9,Z,13.9,10.7,12.5,19,277
PORSCHE,MODEL-432,SPECIAL PURPOSE VEHICLE,4.0,6,AS10,X,16.1,13.9,15.1,16,347
ACURA,MODEL-549,MID-SIZE,2.5,4,AS10,X,11.9,8.0,10.1,23,227
LEXUS,MODEL-510,PICKUP TRUCK - SMALL,2.5,6,A8,X,12.2,8.2,10.4,23,230
BUICK,MODEL-927,MINICOMPACT,2.0,4,M5,X,11.8,10.0,11.0,21,243
BMW,MODEL-362,COMPACT,3.0,6,AV7,Z,14.7,10.9,13.0,18,283
PORSCHE,MODEL-921,SUV - STANDARD,2.0,4,A4,X,13.1,10.5,11.9,20,271
MASERATI,MODEL-642,MINICOMPACT,1.5,4,M5,X,11.4,9.6,10.6,22,235
TOYOTA,MODEL-583,MINICOMPACT,3.0,6,A8,X,13.4,10.5,12.1,19,274
INFINITI,MODEL-460,TWO-SEATER,3.0,6,AV8,X,13.4,11.2,12.4,19,275
RAM,MODEL-542,SPECIAL PURPOSE VEHICLE,2.0,6,AS6,X,11.4,7.2,9.5,25,211
BMW,MODEL-758,VAN - CARGO,3.0,8,AV7,Z,14.7,9.7,12.5,19,287
ASTON MARTIN,MODEL-315,VAN - PASSENGER,2.5,4,AS9,X,12.1,7.4,10.0,24,224
NISSAN,MODEL-785,PICKUP TRUCK - SMALL,2.5,6,AS6,Z,12.9,9.9,11.6,20,264
LINCOLN,MODEL-451,PICKUP TRUCK - STANDARD,2.5,4,A10,Z,12.7,9.3,11.2,21,250
ASTON MARTIN,MODEL-581,TWO-SEATER,2.0,6,A10,X,10.5,5.9,8.4,28,197
FIAT,MODEL-702,SPECIAL PURPOSE VEHICLE,3.0,8,A7,X,13.7,9.5,11.8,20,272
ACURA,MODEL-780,SUBCOMPACT,1.5,4,AS6,X,10.5,7.1,9.0,26,205
ROLLS-ROYCE,MODEL-927,SUV - STANDARD,2.0,4,M6,D,10.4,7.2,9.0,26,250
MASERATI,MODEL-682,STATION WAGON - SMALL,1.0,4,A8,Z,8.9,7.3,8.2,29,179
ASTON MARTIN,MODEL-354,STATION WAGON - MID-SIZE,2.0,4,M7,Z,11.4,9.6,10.6,22,250
LINCOLN,MODEL-988,SUBCOMPACT,2.5,4,M7,Z,13.5,8.9,11.4,21,267
CHRYSLER,MODEL-876,SUV - STANDARD,3.5,4,AS7,Z,15.0,13.3,14.2,17,321
FIAT,MODEL-899,MINICOMPACT,1.5,4,AS6,X,9.0,6.8,8.0,29,193
BMW,MODEL-698,COMPACT,3.0,4,AS6,Z,13.1,8.2,10.9,22,244
GENESIS,MODEL-881,PICKUP TRUCK - STANDARD,3.0,6,AS7,Z,14.1,12.3,13.3,18,315
VOLKSWAGEN,MODEL-580,FULL-SIZE,2.5,4,AM6,X,13.2,10.7,12.1,19,283
LAND ROVER,MODEL-877,MINICOMPACT,2.0,4,A7,X,11.7,7.6,9.9,24,214
TOYOTA,MODEL-563,VAN - PASSENGER,4.0,6,AS6,X,15.1,12.7,14.0,17,326
JEEP,MODEL-494,SUV - STANDARD,2.5,4,AS5,D,10.1,8.1,9.2,26,250
PORSCHE,MODEL-245,VAN - CARGO,3.0,6,AV,E,18.9,13.1,16.3,14,240
BENTLEY,MODEL-467,PICKUP TRUCK - SMALL,2.5,4,M5,X,12.4,10.1,11.4,21,259
FORD,MODEL-442,SUV - SMALL,2.5,4,AS7,X,13.0,9.3,11.3,21,257
HYUNDAI,MODEL-711,STATION WAGON - MID-SIZE,3.0,6,AV,E,18.3,15.5,17.0,14,254
RAM,MODEL-386,SUV - SMALL,3.5,6,A8,Z,14.8,12.5,13.8,17,316
JAGUAR,MODEL-605,TWO-SEATER,2.5,6,AM7,X,12.9,10.7,11.9,20,275
INFINITI,MODEL-386,STATION WAGON - SMALL,2.0,6,A9,X,11.7,8.4,10.2,23,244
CHRYSLER,MODEL-863,TWO-SEATER,2.5,6,M5,D,10.7,7.2,9.1,26,236
CHEVROLET,MODEL-749,STATION WAGON - SMALL,3.5,6,AS5,Z,15.2,12.3,13.9,17,328
LEXUS,MODEL-970,MINICOMPACT,2.0,4,A8,X,10.0,5.7,8.1,29,187
INFINITI,MODEL-127,FULL-SIZE,3.0,8,M5,X,14.9,11.9,13.6,17,314
ALFA ROMEO,MODEL-672,SUV - STANDARD,3.0,6,AS6,D,12.1,9.7,11.0,21,292
AUDI,MODEL-452,SUV - STANDARD,2.0,4,M6,X,11.4,8.4,10.0,24,219
ROLLS-ROYCE,MODEL-377,SPECIAL PURPOSE VEHICLE,1.5,4,M7,X,11.1,9.5,10.4,23,231
LAND ROVER,MODEL-788,SPECIAL PURPOSE VEHICLE,3.0,4,AS6,X,13.1,10.8,12.1,19,285
MINI,MODEL-227,PICKUP TRUCK - STANDARD,4.5,8,AS6,Z,17.8,14.7,16.4,14,383
BUICK,MODEL-404,VAN - PASSENGER,2.5,4,AS5,X,12.9,8.8,11.1,21,247
JEEP,MODEL-497,PICKUP TRUCK - STANDARD,3.0,6,AV7,X,13.8,10.6,12.4,19,280
ASTON MARTIN,MODEL-358,SPECIAL PURPOSE VEHICLE,2.0,4,M5,E,14.6,11.9,13.4,18,199
VOLVO,MODEL-376,PICKUP TRUCK - SMALL,2.0,4,M7,X,12.2,8.2,10.4,23,247
MITSUBISHI,MODEL-493,PICKUP TRUCK - STANDARD,2.5,4,AS8,X,13.2,9.4,11.5,20,253
CHRYSLER,MODEL-389,MID-SIZE,2.5,4,A8,X,13.4,11.2,12.4,19,273
BMW,MODEL-515,PICKUP TRUCK - STANDARD,2.5,4,AM7,Z,11.5,7.2,9.6,25,215
JEEP,MODEL-978,FULL-SIZE,1.0,4,AS8,X,9.3,6.9,8.2,29,188
MASERATI,MODEL-549,SUV - SMALL,3.0,4,A9,X,14.3,10.2,12.5,19,286
BUICK,MODEL-638,SPECIAL PURPOSE VEHICLE,1.5,3,AS6,X,9.3,7.6,8.5,28,198
MAZDA,MODEL-639,MID-SIZE,1.5,3,A8,D,9.8,7.1,8.6,27,224
ASTON MARTIN,MODEL-173,VAN - PASSENGER,3.0,6,AS6,X,13.7,11.0,12.5,19,294
HONDA,MODEL-537,STATION WAGON - SMALL,3.0,6,AS8,D,12.9,9.3,11.3,21,294
MASERATI,MODEL-205,PICKUP TRUCK - STANDARD,3.0,6,AV10,Z,14.7,11.8,13.4,18,314
ACURA,MODEL-316,STATION WAGON - SMALL,2.5,4,AS7,X,10.2,8.3,9.3,25,209
MAZDA,MODEL-989,VAN - PASSENGER,2.5,4,A6,X,13.0,11.4,12.3,19,276
GMC,MODEL-585,SUV - STANDARD,3.5,6,A10,X,14.2,11.1,12.8,18,301
HYUNDAI,MODEL-640,STATION WAGON - SMALL,2.5,4,A8,Z,11.9,7.0,9.7,24,226
DODGE,MODEL-926,MINICOMPACT,3.0,6,M6,X,14.0,9.6,12.0,20,269
ALFA ROMEO,MODEL-191,FULL-SIZE,2.0,4,A4,X,11.3,9.1,10.3,23,250
LINCOLN,MODEL-985,PICKUP TRUCK - SMALL,4.0,8,A7,Z,16.5,15.0,15.8,15,362
FIAT,MODEL-126,FULL-SIZE,2.0,4,AV8,D,9.7,7.2,8.6,27,233
SUBARU,MODEL-670,STATION WAGON - MID-SIZE,3.0,6,AS6,X,12.7,9.3,11.2,21,261
MERCEDES-BENZ,MODEL-248,SPECIAL PURPOSE VEHICLE,1.5,4,AV,X,10.0,7.8,9.0,26,198
HYUNDAI,MODEL-485,TWO-SEATER,3.0,6,M6,X,12.9,10.9,12.0,20,282
JEEP,MODEL-375,STATION WAGON - MID-SIZE,2.5,6,M7,Z,12.4,9.0,10.9,22,246
SMART,MODEL-340,PICKUP TRUCK - STANDARD,2.5,6,AM7,X,14.8,10.3,12.8,18,286
INFINITI,MODEL-315,FULL-SIZE,3.0,6,M5,Z,14.1,10.6,12.5,19,278
ACURA,MODEL-815,MINICOMPACT,1.0,4,AV7,Z,10.6,6.1,8.6,27,196
AUDI,MODEL-923,COMPACT,2.0,6,A8,X,11.9,8.0,10.1,23,224
MINI,MODEL-740,TWO-SEATER,2.0,4,A4,Z,9.9,6.1,8.2,29,189
JEEP,MODEL-557,SUBCOMPACT,1.5,4,AM7,Z,11.1,8.8,10.1,23,230
MERCEDES-BENZ,MODEL-457,FULL-SIZE,1.0,4,AV10,X,10.6,5.9,8.5,28,192
DODGE,MODEL-128,COMPACT,2.0,4,AS6,Z,11.9,7.2,9.8,24,228
MINI,MODEL-698,SUV - SMALL,2.0,4,AM7,D,11.1,7.5,9.5,25,261
PORSCHE,MODEL-828,SPECIAL PURPOSE VEHICLE,3.0,6,AS9,X,14.4,10.5,12.6,19,295
LINCOLN,MODEL-663,MINICOMPACT,1.0,4,A8,D,9.1,6.8,8.1,29,214
RAM,MODEL-640,STATION WAGON - MID-SIZE,3.5,4,AV10,Z,14.0,11.5,12.9,18,297
ACURA,MODEL-616,SPECIAL PURPOSE VEHICLE,4.0,6,M5,Z,15.6,11.8,13.9,17,312
ACURA,MODEL-995,PICKUP TRUCK - STANDARD,4.0,8,AS5,X,16.8,14.3,15.7,15,351
VOLKSWAGEN,MODEL-486,STATION WAGON - SMALL,2.0,4,A7,X,9.3,7.6,8.5,28,190
JAGUAR,MODEL-335,MID-SIZE,2.5,4,AM7,E,14.9,10.1,12.7,19,189
SMART,MODEL-625,PICKUP TRUCK - SMALL,3.0,8,M5,E,18.9,15.2,17.2,14,271
FIAT,MODEL-829,VAN - CARGO,2.5,4,AM7,X,13.2,8.9,11.3,21,246
FORD,MODEL-264,STATION WAGON - MID-SIZE,3.0,6,AS6,X,12.4,10.1,11.4,21,258
JEEP,MODEL-827,MID-SIZE,2.0,6,A5,Z,12.6,7.6,10.4,23,231
CADILLAC,MODEL-399,VAN - CARGO,3.0,6,AV8,X,13.8,11.8,12.9,18,291
LEXUS,MODEL-647,STATION WAGON - SMALL,1.5,3,M5,D,8.4,6.9,7.7,31,200
NISSAN,MODEL-425,MID-SIZE,3.5,6,AS10,Z,14.6,12.1,13.5,17,319
ROLLS-ROYCE,MODEL-676,COMPACT,2.5,4,AS10,X,13.2,11.6,12.5,19,286
ACURA,MODEL-115,TWO-SEATER,2.5,6,M6,Z,13.1,8.4,11.0,21,244
MASERATI,MODEL-393,SUV - SMALL,2.5,4,AV10,X,12.0,8.8,10.6,22,244
GMC,MODEL-599,STATION WAGON - MID-SIZE,2.0,4,AM6,X,11.5,6.7,9.3,25,214
MINI,MODEL-818,STATION WAGON - MID-SIZE,2.0,4,AS7,D,11.2,8.5,10.0,24,253
BUICK,MODEL-261,MINICOMPACT,2.0,4,AV,X,11.4,6.6,9.2,26,216
ACURA,MODEL-302,VAN - CARGO,4.0,6,M7,Z,15.8,13.9,14.9,16,350
BUICK,MODEL-389,VAN - PASSENGER,2.5,4,AS6,Z,13.3,9.1,11.4,21,257
LAND ROVER,MODEL-411,SUV - STANDARD,2.5,6,AS6,X,11.7,9.0,10.5,22,243
FORD,MODEL-535,FULL-SIZE,2.0,4,AS6,Z,11.7,9.2,10.6,22,237
ACURA,MODEL-573,TWO-SEATER,1.5,3,A5,X,10.8,6.2,8.7,27,209
LEXUS,MODEL-633,MINICOMPACT,2.0,4,AS8,X,10.5,8.4,9.6,25,215
MINI,MODEL-149,STATION WAGON - SMALL,1.0,4,AM7,X,8.5,6.5,7.6,31,175
MINI,MODEL-664,COMPACT,2.5,4,A8,E,16.2,13.1,14.8,16,233
LAMBORGHINI,MODEL-153,VAN - PASSENGER,2.0,4,AS5,X,11.9,9.2,10.7,22,244
JAGUAR,MODEL-780,PICKUP TRUCK - SMALL,2.5,6,M6,Z,12.9,8.3,10.8,22,242
MINI,MODEL-819,TWO-SEATER,1.0,3,A4,Z,9.5,5.8,7.8,30,184
BUICK,MODEL-710,PICKUP TRUCK - SMALL,3.0,6,A9,X,13.6,9.0,11.5,20,263
ACURA,MODEL-565,FULL-SIZE,1.5,4,AS9,X,9.8,6.4,8.3,28,194
JEEP,MODEL-876,SPECIAL PURPOSE VEHICLE,1.5,3,AS7,X,10.6,5.8,8.4,28,185
BUICK,MODEL-545,SPECIAL PURPOSE VEHICLE,2.5,4,AS8,Z,11.7,6.8,9.5,25,217
DODGE,MODEL-800,SUBCOMPACT,1.5,4,AV10,D,8.9,7.2,8.1,29,219
NISSAN,MODEL-585,MINICOMPACT,2.0,4,A7,Z,9.9,6.5,8.4,28,182
NISSAN,MODEL-414,COMPACT,3.5,6,AS8,Z,13.8,10.3,12.2,19,269
GENESIS,MODEL-203,PICKUP TRUCK - STANDARD,2.5,4,M5,Z,13.1,10.2,11.8,20,275
SMART,MODEL-360,PICKUP TRUCK - SMALL,2.0,4,A8,X,12.6,9.7,11.3,21,260
PORSCHE,MODEL-409,VAN - PASSENGER,2.5,4,A10,X,10.8,6.5,8.9,26,205
BENTLEY,MODEL-934,SUV - STANDARD,3.5,4,AS5,X,13.3,8.6,11.2,21,256
BMW,MODEL-429,FULL-SIZE,3.0,6,A9,Z,14.9,11.3,13.3,18,306
BMW,MODEL-334,COMPACT,2.5,4,M5,D,8.8,6.3,7.7,31,203
LEXUS,MODEL-291,PICKUP TRUCK - STANDARD,3.0,8,AS10,Z,15.1,10.9,13.2,18,308
ALFA ROMEO,MODEL-482,FULL-SIZE,2.0,4,AS6,Z,11.6,7.7,9.8,24,224
BENTLEY,MODEL-972,COMPACT,2.0,4,A8,X,11.1,7.7,9.6,25,223
CHEVROLET,MODEL-645,VAN - PASSENGER,2.5,4,AS7,X,11.7,9.7,10.8,22,255
DODGE,MODEL-834,FULL-SIZE,1.5,3,AS7,X,12.2,10.4,11.4,21,258
NISSAN,MODEL-828,PICKUP TRUCK - SMALL,2.0,4,A8,Z,11.1,6.5,9.0,26,200
MASERATI,MODEL-947,SUV - SMALL,3.0,4,AV7,N,13.0,9.6,11.5,20,220
BMW,MODEL-703,VAN - PASSENGER,3.0,6,AV,X,15.4,11.6,13.7,17,301
CHRYSLER,MODEL-871,TWO-SEATER,3.0,4,AV,X,12.2,8.4,10.5,22,236
LAND ROVER,MODEL-847,TWO-SEATER,3.0,4,AS9,X,13.6,9.4,11.7,20,274
GMC,MODEL-630,COMPACT,2.0,4,A8,X,11.3,7.9,9.8,24,216
ALFA ROMEO,MODEL-354,SUV - SMALL,2.0,6,AS7,Z,11.1,7.6,9.5,25,215
LINCOLN,MODEL-618,VAN - PASSENGER,2.5,4,AV,X,13.6,10.9,12.4,19,276
LAND ROVER,MODEL-728,COMPACT,3.0,8,M6,X,14.7,10.6,12.9,18,302
NISSAN,MODEL-240,SPECIAL PURPOSE VEHICLE,2.0,6,AS8,N,12.1,9.1,10.8,22,213
FORD,MODEL-306,PICKUP TRUCK - SMALL,2.0,4,AS5,Z,12.8,10.1,11.6,20,268
ROLLS-ROYCE,MODEL-149,SUBCOMPACT,2.5,6,AM7,X,11.8,9.6,10.8,22,252
ACURA,MODEL-473,COMPACT,2.5,4,AS8,X,10.4,6.6,8.7,27,198
JAGUAR,MODEL-208,PICKUP TRUCK - STANDARD,3.5,8,AV7,X,17.5,13.7,15.8,15,358
TOYOTA,MODEL-365,PICKUP TRUCK - STANDARD,2.5,4,A6,Z,11.9,9.6,10.9,22,255
MASERATI,MODEL-336,VAN - CARGO,2.0,4,A8,X,12.0,9.1,10.7,22,254
INFINITI,MODEL-851,FULL-SIZE,3.5,8,AS9,D,13.7,10.2,12.1,19,325
DODGE,MODEL-723,SUBCOMPACT,1.5,4,AM6,D,8.3,5.8,7.2,33,190
ACURA,MODEL-904,MID-SIZE,2.0,4,M6,N,11.9,7.6,10.0,24,180
PORSCHE,MODEL-727,SUBCOMPACT,2.5,4,AS9,X,12.9,8.4,10.9,22,251
MERCEDES-BENZ,MODEL-378,TWO-SEATER,2.0,4,AS9,X,11.3,9.0,10.3,23,239
ALFA ROMEO,MODEL-282,VAN - PASSENGER,1.5,4,M5,Z,9.0,4.4,6.9,34,162
ACURA,MODEL-573,PICKUP TRUCK - SMALL,2.5,4,M5,E,15.7,10.2,13.2,18,210
LINCOLN,MODEL-772,STATION WAGON - MID-SIZE,3.0,6,A8,X,14.1,11.5,12.9,18,296
KIA,MODEL-962,MID-SIZE,2.0,6,M5,X,12.0,9.6,10.9,22,251
FORD,MODEL-395,COMPACT,2.0,4,A4,N,10.0,8.4,9.3,25,170
LEXUS,MODEL-772,SUBCOMPACT,2.5,4,AM7,X,11.5,7.5,9.7,24,221
LAND ROVER,MODEL-313,VAN - PASSENGER,2.0,4,A4,Z,12.0,8.3,10.3,23,234
LEXUS,MODEL-119,COMPACT,2.5,4,AV8,X,11.7,7.7,9.9,24,219
SMART,MODEL-103,COMPACT,2.5,4,AM6,X,11.5,8.2,10.0,24,238
DODGE,MODEL-189,MINICOMPACT,1.0,4,AS9,X,8.6,4.0,6.5,36,146
NISSAN,MODEL-304,VAN - PASSENGER,3.5,4,A5,Z,15.1,13.5,14.4,16,319
VOLVO,MODEL-777,SUV - STANDARD,2.5,4,AS10,X,12.0,9.6,10.9,22,252
RAM,MODEL-866,FULL-SIZE,2.5,4,AS8,X,10.6,8.9,9.8,24,218
KIA,MODEL-746,VAN - CARGO,2.5,4,AM6,D,11.3,7.4,9.5,25,264
GMC,MODEL-712,VAN - CARGO,3.5,4,AM7,Z,15.6,11.3,13.7,17,318
MITSUBISHI,MODEL-643,COMPACT,2.5,4,AS7,X,11.2,8.8,10.1,23,226
